,Season,Venue,City,innings,batter,Match_Played,Balls_Faced,Runs,4s,6s,Out,Not_Out,Strike_Rate,Avg,Explosivity_Rating,Running_Rating,Finisher_Rating
6922,2017,Rajiv Gandhi International Stadium,Hyderabad,1,RG Sharma,2,68,91,10,2,2.0,0.0,92.0,125.0,13.0,80.0,1.0
9923,2022,"Wankhede Stadium, Mumbai",Mumbai,1,MS Dhoni,3,85,93,11,3,1.0,2.0,94.0,178.0,15.0,80.0,3.0
5979,2016,Feroz Shah Kotla,Delhi,2,DA Warner,1,59,93,11,3,0.0,1.0,94.0,93.0,15.0,80.0,2.0
8530,2020,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,2,D Padikkal,2,63,88,9,1,2.0,0.0,89.0,119.5,11.0,79.0,1.0
5072,2014,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,2,GJ Maxwell,1,48,95,15,2,1.0,0.0,96.0,143.0,18.0,79.0,1.0
5932,2016,Feroz Shah Kotla,Delhi,1,BB McCullum,2,67,92,11,3,2.0,0.0,93.0,125.5,15.0,79.0,1.0
790,2009,Kingsmead,Durban,1,JH Kallis,2,72,89,9,2,2.0,0.0,90.0,125.0,12.0,79.0,1.0
2448,2011,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,S Badrinath,6,66,89,8,3,3.0,3.0,90.0,111.0,12.0,79.0,4.0
5615,2015,Rajiv Gandhi International Stadium,Hyderabad,2,DA Miller,1,45,89,2,9,0.0,1.0,90.0,89.0,12.0,79.0,2.0
811,2009,Kingsmead,Durban,1,NV Ojha,3,68,91,5,8,3.0,0.0,92.0,113.66666666666667,14.0,79.0,1.0
2399,2011,M Chinnaswamy Stadium,Bangalore,1,TM Dilshan,3,82,90,10,2,2.0,1.0,91.0,131.0,13.0,79.0,2.0
504,2008,Rajiv Gandhi International Stadium,Hyderabad,2,V Sehwag,1,43,94,10,6,0.0,1.0,95.0,94.0,17.0,79.0,2.0
276,2008,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,GC Smith,1,52,91,9,4,1.0,0.0,92.0,143.0,14.0,79.0,1.0
3003,2012,Feroz Shah Kotla,Delhi,1,DPMD Jayawardene,3,75,91,12,1,3.0,0.0,92.0,116.0,14.0,79.0,1.0
9761,2022,Maharashtra Cricket Association Stadium,Pune,2,Abhishek Sharma,3,71,91,10,3,3.0,0.0,92.0,114.66666666666667,14.0,79.0,1.0
6630,2017,Holkar Cricket Stadium,Indore,1,AB de Villiers,1,49,89,3,9,0.0,1.0,90.0,89.0,13.0,78.0,2.0
7039,2017,Saurashtra Cricket Association Stadium,Rajkot,2,SK Raina,3,55,90,10,3,2.0,1.0,91.0,117.5,14.0,78.0,2.0
4699,2014,JSCA International Stadium Complex,Ranchi,1,MS Dhoni,3,65,86,4,5,1.0,2.0,87.0,151.0,10.0,78.0,3.0
1350,2010,Barabati Stadium,Cuttack,1,A Symonds,2,62,88,6,5,2.0,0.0,89.0,119.0,12.0,78.0,1.0
7554,2018,Rajiv Gandhi International Stadium,Hyderabad,1,MK Pandey,3,82,84,5,2,3.0,0.0,85.0,111.33333333333333,8.0,78.0,1.0
3907,2013,JSCA International Stadium Complex,Ranchi,2,YK Pathan,2,61,90,9,4,2.0,0.0,91.0,120.5,14.0,78.0,1.0
8899,2021,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2,RR Pant,3,69,88,9,2,2.0,1.0,89.0,122.5,12.0,78.0,2.0
3205,2012,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,DJ Bravo,6,57,88,6,5,3.0,3.0,89.0,107.0,12.0,78.0,4.0
466,2008,Rajiv Gandhi International Stadium,Hyderabad,1,Y Venugopal Rao,4,85,87,7,3,4.0,0.0,88.0,108.25,11.0,78.0,1.0
6046,2016,M Chinnaswamy Stadium,Bangalore,1,CH Gayle,6,69,92,6,9,6.0,0.0,93.0,103.5,16.0,78.0,1.0
4357,2013,Sawai Mansingh Stadium,Jaipur,2,STR Binny,5,54,88,6,5,1.0,4.0,89.0,142.0,12.0,78.0,5.0
5947,2016,Feroz Shah Kotla,Delhi,1,JP Duminy,2,64,83,4,2,1.0,1.0,84.0,147.0,7.0,78.0,2.0
6509,2017,"Eden Gardens, Kolkata",Kolkata,2,RA Tripathi,1,54,93,9,7,1.0,0.0,94.0,147.0,17.0,78.0,1.0
3819,2013,Feroz Shah Kotla,Delhi,2,DA Warner,4,74,89,11,1,3.0,1.0,90.0,113.66666666666667,13.0,78.0,2.0
9257,2022,"Brabourne Stadium, Mumbai",Mumbai,1,JM Sharma,4,57,90,8,5,4.0,0.0,91.0,104.25,14.0,78.0,1.0
2141,2011,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2,RV Uthappa,3,57,87,4,6,1.0,2.0,88.0,144.0,11.0,78.0,3.0
2005,2010,Sawai Mansingh Stadium,Jaipur,1,SR Tendulkar,1,62,89,10,2,0.0,1.0,90.0,89.0,13.0,78.0,2.0
2766,2011,Sawai Mansingh Stadium,Jaipur,2,LRPL Taylor,5,75,86,6,3,1.0,4.0,87.0,161.0,10.0,78.0,5.0
1674,2010,Feroz Shah Kotla,Delhi,2,ML Hayden,1,46,93,9,7,1.0,0.0,94.0,139.0,17.0,78.0,1.0
822,2009,Kingsmead,Durban,1,RA Jadeja,3,67,89,10,2,3.0,0.0,90.0,111.33333333333333,13.0,78.0,1.0
6225,2016,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2,GJ Maxwell,2,53,88,8,3,1.0,1.0,89.0,141.0,12.0,78.0,2.0
3265,2012,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,MS Bisla,1,52,89,8,5,1.0,0.0,90.0,141.0,14.0,77.0,1.0
6653,2017,Holkar Cricket Stadium,Indore,2,HM Amla,2,66,86,6,4,1.0,1.0,87.0,152.0,11.0,77.0,2.0
6199,2016,"Punjab Cricket Association Stadium, Mohali",Chandigarh,1,MP Stoinis,2,67,85,7,2,2.0,0.0,86.0,118.5,10.0,77.0,1.0
7282,2018,"Eden Gardens, Kolkata",Kolkata,2,Shubman Gill,2,57,87,8,3,1.0,1.0,88.0,144.0,12.0,77.0,2.0
8136,2019,"Punjab Cricket Association Stadium, Mohali",Chandigarh,1,KL Rahul,4,80,87,7,4,4.0,0.0,88.0,107.0,12.0,77.0,1.0
7413,2018,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,AD Russell,1,36,88,1,11,0.0,1.0,89.0,88.0,13.0,77.0,2.0
3857,2013,Himachal Pradesh Cricket Association Stadium,Dharamsala,1,Azhar Mahmood,2,60,89,9,4,2.0,0.0,90.0,119.0,14.0,77.0,1.0
5672,2015,"Sardar Patel Stadium, Motera",Ahmedabad,2,SPD Smith,2,61,85,8,1,1.0,1.0,86.0,146.0,10.0,77.0,2.0
9083,2021,"Wankhede Stadium, Mumbai",Mumbai,2,DA Miller,3,73,88,10,2,2.0,1.0,89.0,124.5,13.0,77.0,2.0
6297,2016,Rajiv Gandhi International Stadium,Hyderabad,2,G Gambhir,1,62,90,13,1,0.0,1.0,91.0,90.0,15.0,77.0,2.0
7927,2019,"Eden Gardens, Kolkata",Kolkata,2,HH Pandya,1,34,91,6,9,1.0,0.0,92.0,125.0,16.0,77.0,1.0
1258,2009,SuperSport Park,Centurion,1,ML Hayden,2,60,90,8,6,2.0,0.0,91.0,120.0,15.0,77.0,1.0
